date,hour,demand
2021-03-01,0,57
2021-03-01,1,52
2021-03-01,2,57
2021-03-01,3,59
2021-03-01,5,61
2021-03-01,6,66
2021-03-01,7,73
2021-03-01,8,86
2021-03-01,9,92
2021-03-01,10,87
2021-03-01,11,88
2021-03-01,12,95
2021-03-01,13,93
2021-03-01,14,90
2021-03-01,15,88
2021-03-01,16,93
2021-03-01,17,98
2021-03-01,18,98
2021-03-01,19,95
2021-03-01,20,88
2021-03-01,21,82
2021-03-01,22,81
2021-03-01,23,76
2021-03-02,0,60
2021-03-02,1,54
2021-03-02,2,60
2021-03-02,4,63
2021-03-02,6,68
2021-03-02,7,75
2021-03-02,8,87
2021-03-02,9,92
2021-03-02,10,88
2021-03-02,11,88
2021-03-02,12,93
2021-03-02,13,91
2021-03-02,14,90
2021-03-02,15,89
2021-03-02,16,94
2021-03-02,17,99
2021-03-02,18,99
2021-03-02,19,97
2021-03-02,20,90
2021-03-02,21,86
2021-03-02,22,80
2021-03-02,23,76
2021-03-03,0,60
2021-03-03,2,55
2021-03-03,3,56
2021-03-03,4,57
2021-03-03,5,57
2021-03-03,6,60
2021-03-03,7,66
2021-03-03,8,75
2021-03-03,9,80
2021-03-03,10,72
2021-03-03,11,71
2021-03-03,12,76
2021-03-03,13,74
2021-03-03,14,73
2021-03-03,15,73
2021-03-03,16,79
2021-03-03,17,84
2021-03-03,18,84
2021-03-03,19,82
2021-03-03,20,75
2021-03-03,21,72
2021-03-03,22,65
2021-03-03,23,62
2021-03-04,0,62
2021-03-04,1,57
2021-03-04,2,58
2021-03-04,4,59
2021-03-04,6,61
2021-03-04,7,68
2021-03-04,8,77
2021-03-04,9,81
2021-03-04,10,77
2021-03-04,11,79
2021-03-04,12,85
2021-03-04,13,84
2021-03-04,14,83
2021-03-04,15,83
2021-03-04,16,87
2021-03-04,17,92
2021-03-04,18,92
2021-03-04,19,90
2021-03-04,20,83
2021-03-04,21,79
2021-03-04,22,73
2021-03-04,23,70
2021-03-05,0,62
2021-03-05,1,57
2021-03-05,2,57
2021-03-05,3,56
2021-03-05,4,56
2021-03-05,5,56
2021-03-05,6,60
2021-03-05,7,66
2021-03-05,8,75
2021-03-05,9,81
2021-03-05,10,81
2021-03-05,11,89
2021-03-05,12,98
2021-03-05,13,97
2021-03-05,14,96
2021-03-05,15,96
2021-03-05,16,100
